Race,"Rich(>16k), Middle(6k-16k), Poor(>6k)https://flowingdata.com/2014/07/02/jobs-charted-by-state-and-salary/",Age,Housing comments
white,middle,29,"Hi, I am looking for someone to room with me. Unfortunately, you cannot have pets. Must be clean and flexible to compromising with input to decorate home etc. There’s a bed in the spare bedroom and a bathroom, but it is not completely furnished. Rent, Gas, Water, Internet & Electric all included in monthly price."
black,middle,64,"My home is only a few short blocks from the Beautiful Swan Lake where the locals fish, jog, dog walk or simply sit and enjoy the great outdoors. I am only a minute ride to Walmart and other major shopping. There is a public transportation system that picks up and drops off door to door for only $2 for seniors and $4 for everyone else. I am offering fully furnished units with preferred amenities (i.e. Smart TV with built-in fire stick, microwave and small fridge in every room)! If you are interested, please call me at ( and let's get you a place to call home. I look forward to hearing from you. God bless and thank you, Tanya"
white,middle,28,"We have a 4bed room and bathroom coed house. Looking for a female to rent out a private room and a shared bathroom (jack and Jill) The shared bathroom is with another female. Double sided locks for extra privacy. Close to sugarloaf mills, highway . Next to Gwinnett technical college."
black,middle,63,"Located in The campcreek area, tennis courts, swimming pool and clubhouse. One bedroom fully furnished with a private bathroom. Must be a smoke free person and willing to take a free drug test. No couples , pets or children"
white,middle,38,"I am located in a gated community in walking distance to Avalon and downtown Alpharetta in a 3 bedroom two car garaged townhouse. You will have to share a full bathroom with the other bedroom but it does have double sinks. The second garage can be utilized for additional storage and there is one additional designated space for parking. The neighborhood is very quiet and he townhouse was built in , in good condition, has a community pool, and located in the back of the community."
black,middle,-,"Rooms available for rent. Very nice house. Close to Downtown Atlanta, Park & 1 block from Marta. Rooms are $ Rooms are unfurnished. Utilities $, includes wifi, washer & dryer, and electricity. If post is still up rooms are still available."
white,middle,31,"Roommate wanted for a bath home in Candler Park. Mixed gender home, no preference for an incoming roommate. Current roommates are mid 's professionals. Private room with closet on the second story of the home, bathroom shared with one male roommate. Common space includes a glassed-in sunroom, living room, dining room, covered rear deck, and full kitchen with all appliances. Modern home recently renovated with new central heat and air. Two sets of shared washers and dryers in the home. Home features wood and tile floors throughout. Street parking only. Great neighborhood, walking distance to local shops, restaurants, parks, and bars. Convenient to bike lanes and MARTA. Easy street commute to most all parts of NE Atlanta and Downtown."
white,middle,30,"We are a female married couple looking to rent the spare room. Fully furnished with comfortable bed, closet and dresser with private bathroom. Privacy fenced in yard with hot tub and pool. We have 2 French bulldogs and a beagle. Well behaved and friendly. We are healthcare worker and work at a gym."
white,middle,29,"I prefer to have a roommate who is clean, trustowrthy, doesn't smoke, and has no drama. All amenties included internet, washer, dryer, dishwasher, electric stove, microwave, oven, and closet. This home is less than 5 mins from shops, restaurants, and grocery stores nearby."
white,middle,-,"Large room with ample closet space, and great lighting. Comes with a private bathroom & a direct ethernet connection. Perfect for business professionals looking for a place to work from home. The neighborhood is quaint, quiet, and within walkable distance of gas stations, and a dollar store."
black,middle,45,"Hi!! I am a tidy and clean female living in a 2 bedroom and 2 bathroom luxury apartment in the Duluth area. I am close to the intersection of pleasant hill road and surrounded by restaurants, parks , shopping centers. Excitingly, the Marta bus runs right outside this gated community. I am looking for a roomie who is also tidy, clean and mature enough to respect our privacy, please no parties, smoking of anything and excessive alcohol drinking. No pets, no kids, no couples just a single professional or student who actually leaves out to work and returns, I’m sorry no remote work from the apartment, please. COVID is real and I’m very sanitary around the apartment and I don’t have tons of visitors in my place at one given day, for this reason. UTILITIES are inclusive of rent! So, I am a very cool , chilled, matured woman and interactive. I do require a basic background check, which you can obtain from your local police department. Thanks"
white,middle,22,"This is a Subletting of a unit in a bath apartment with full kitchen, dining, living, bath, and laundry in Marietta GA near the KSU Marietta Campus. There are three other roommates, all males, and the unit is furnished by the renters."
white,middle,-,"Close to and lots of shopping and food. I’ve had roommates I’ve become bestfriends with and some I never talked to, I’m okay with either! Kitchen, both fridges, living room, laundry room, and storage space are all shared! I stay pretty clean and you must love animals!"
white,middle,24,"Join us in our cozy home. In the charming town of Stone Mountain only minutes away from the park and local restaurant. We are offering 2 rooms, a private bathroom, 3 closets and half of the kitchen cabinet space. We will be sharing the home bar, living room and dining room. Rent is /month plus half the utilities. This home includes stainless steel appliances, a gas powered stove and a log fireplace. We are quiet and clean people who are friendly."
black,middle,39,"Two-story home, three bedrooms. Well kept, very clean, very quiet, immaculate lawn. Nice neighborhood, great for walking. Easy access to I. Seeking another roommate who is clean, courteous, and quiet. Professional, quiet, mature people only. Walmart, Chic Fil, Kroger nearby. Also close to the airport. Great place if you are a traveller. Come by and check it out. My home has a nice, warm, tranquil feel. You will be comfortable and happy here."
white,middle,46,"I'm a single (divorced) male with no kids, looking to share a great house! Very easygoing here and enjoy having a good time, getting to know good people and ALWAYS up for a good drink! I have a housekeeper, so the public spaces are always clean - what you do with your space is your business.. I have a square foot house in a gated community in Marietta. It’s been decorated by a pro and is really quite nice. The room is furnished and has a private bath. It’s also adjoined by a private den with a ” LED (the pic with the big red artwork!). The rent includes all bills.."
white,middle,44,"Sweet home in Decatur available Nov. . My roommate and myself are looking for someone kind, clean and considerate. Please feel free to send any additional questions needed. The house is located close to the EAV and downtown Decatur."
black,middle,27,"Great home located in Smyrna, GA only 4 miles from the Battery and the Braves Stadium. Designer touches can be found throughout this gorgeous bathroom home, starting with the painted brick accent wall that spans all three levels. This combined with a custom horizontal iron stair railing evokes a feeling of being in a city loft. The open-concept second floor living room with vaulted ceilings and huge windows is just off the kitchen, which features a large quartz island that will be perfect for entertaining. The cabinets are stacked to the ceiling, allowing plenty of storage. There are security cameras installed throughout the external portion of the house, and there is even a stereo system built into the house itself! The neighborhood also has two pools! I'm looking for a perfect roommate to join me in being the first people to live in this brand new home. THE OUTSTANDING FURNITURE AND INTERIOR DESIGN IS NOT INCLUDED (Unfortunately). I will be working to furnish and decorate this house as time goes on! There is a garage, but I will be using that and converting part of it into a gym, which you'd be free to use. I am potentially looking for two roommates so at most, three people will be living here. No pets. I work in the tech industry and mostly from home, so I will be around quite a bit but I'm very sociable! Move in is scheduled to be no later than December 1st. So, that's when I would expect to have a roommate move in, as well."
black,middle,62,"Move in today.Room for Rent in a nice spacious clean house located in a quiet community on Rockmill lane Conyers,Home freshly painted with new kitchen with new appliances, separate living, breakfast area and dining to share.Standup shower you will also be near all of shopping, mall No pet"
black,middle,27,"if interested. Fully furnished bedrooms for rent in beautiful lake view home, quiet and well kept community. Located less than 3 min to Publix, CVS, QT, Applebees, Boston Market, etc. I am a young professional, working from home most of the time. I'm looking for clean, mature, and considerate roommates. Background check and credit report will be run. Rent price does not include utilities; which will be equally split among all tenants. Preferably make at least 3 times the rent rental application. Feel free to call for further detail and I will be more than happy to arrange a showing."
white,middle,50,"**Master Bed Room For Rent - Owner lives upstairs - house has 1 cat. Welcome to a home built for relaxing in style. This fully furnished home in the quiet and historic Jefferson Park neighborhood, is minutes from the airport and 8 miles from the heart of downtown. There is easy interstate access, but keep in mind Atlanta traffic is like the tide. Space becomes available end of August - Sept 1st. - All utilities + Internet + streaming included. This space is perfect for the business professional who travels often and needs a home base or a graduate student in search of a quite space for their studies. The space comes fully furnished with a great kitchen and living room combo space. Housemate will be occupying the master bedroom within the home, that comes with the full master bath as well as a giant walk in closet for storage. There is a great fenced in backyard perfect for pets, and a large wrap around front porch that is set up to be an extension of this relaxing space."
white,middle,25,"Sublease in SQ5! 2 min walk to Scheller/Tech Square. Unbeatable location!! Two 1b/1b available in a 4b/4b. Hey everyone! I am looking to sublease my 1bed/1bath in a 4b/4b to a female renter starting May 1st (or earlier if needed) and ending July 31st, with the option to renew. One of my roommates is also looking to sublease if anyone wants to move in with a friend! The room: My room is the one circled in purple. It’s very spacious and private, with a big closet and your own bathroom. It is the closest to the entry so you don’t have to walk through any common space to enter your room! You also get a hallway that makes the room feel even bigger. It’s carpeted with tile in the bathroom, and is fully furnished including full bed, desk, desk chair, dresser, and closet storage. Has a big window facing south and a ceiling fan. The room locks with a key! The apartment: Fully furnished open kitchen and living room with huge south-facing windows, appliances, TV, two tables, barstools, a couch, and two armchairs. Washer and dryer included. You also get plenty of pantry space to yourself. Our balcony also looks south and we get beautiful sunsets. We are on the 18th floor so we have great views! Internet, electricity, trash, cable, pest control, and water are all included in rent, and maintenance is free and very fast. There is a parking garage attached and you have the option to buy a parking pass through SQ5 or through Georgia Tech. There is a pool, an outdoor grilling area, a study space, and a gym on the roof. Packages are delivered securely and you can buzz friends in through an app, plus you get an electronic key fob to buzz you into the building and the apartment. There is also 24 hour security. It has an unbeatable location (I’m honestly sad to leave lol) and you can walk to campus, grocery stores, and restaurants. There is also a Vietnamese restaurant and an Insomnia Cookies on the first floor."
white,middle,25,Hi y'all!! I'm a former Emory student and am hoping to come out to Atlanta for a little while. I'm looking for somewhere I can rent for about a month. It would need to allow dogs and I'm hoping to come around mid-March but am flexible on dates. I'm hoping to be as close to Gables Montclair as possible. If you have a place or know someone who does send me a message!!
white,middle,25,"We are looking for 1-2 roommates to replace 2 current roommates who are moving out in April, move-in date is somewhat flexible based on your preferences. Our house is in Poncey Highland near the North Ave/North Highland intersection which makes it walkable to a lot of places including Virginia Highlands, Beltline, Inman Park, Ponce City Market, and Freedom Park. The current roommates can leave the room unfurnished or fully furnished - whatever you prefer! The room we're renting has a private patio, private bathroom, and direct access to the back yard! Landlord covers all utilities except Internet. The two current roommates you'll be living with are a 4th year med student and Emory MPH grad/consultant working at the CDC. "
white,middle,25,"Hi! I am looking for a female in her early to mid-20s to replace me on my lease by April 1 but ideally sooner. It is a 2 bedroom/2 bathroom apartment at Belara Apartment Homes, in North Druid Hills, about 10 mins from Emory and about 15 mins from midtown. The lease ends August 24, 2021 (also - my roommate wants to renew the lease if you are interested in staying another year). Price comes out to almost $900 per month including fees, but I am willing to cover some of the fees until August becuase I am looking to move out ASAP so that number is negotiable! If you’re interested the best way to get in touch is text me at 7702350453. My roommate is a 23 year old graduate of UGA who works at Emory as a research assistant! The complex is gated and has a gym and pool, and parking is included. We also have washer + dryer in the apartment and no pets, but could be open to someone with pets."
white,middle,29,"Master Bedroom w/ Private Bath & Closet. Fully Furnished Room and House!! Move in date: April 8, 202. Rent: $900 (all utilities included). Lease Term: 6-months. Utilities: Included (1000 mbps fiber internet, washer/dryer, smart locks, alarm system, etc). Room for rent inside a 4 bedroom, 2.5 bath house. The house is new house, built in January 2020. Very quiet neighborhood, and house is at the end of cul-de-sac. Shared spaces (kitchen/living room) are fully furnished. Only 2 other young people (males) living in the house. The house has wood floors, granite counters, amazing finishes. Backyard space. Fully furnished living/dining room and kitchen. Washer and dryer included. Contact me with questions. Come by and check it out! Thanks, "
white,middle,25,"Hi I have a room available from the end of April, the house is for two people. The place it's very near to Gatech, the beltline and piedmont park. If you need more information contact me, 4043418284"
black,poor,25,"Private Room For Rent. 800 West Marietta Street NW. I am looking for a female to take over my lease ending July 31st, 2021, for one bed, one bath in a 4X4 bed and bath at Westmar student lots. You are entitled to your private room and bathroom and a spacious closet (DM for videos and pictures). You will also be sharing the living area with three other nice and neat roommates who respect privacy a lot. Rent is $850 a month, including utilities. February rent has been paid. Free shuttles are provided for GSU and GAtech students to their various campuses and also to Walmart. The building has 24/7 security, access to the gym, pool, study rooms, a race track, and a volleyball and basketball court. DM if interested or have any questions."
white,middle,25,"Extremely spacious room in a convenient location with less than a minute walk to GT and 10 min walk to the midtown marta. Looking for a subleaser to move in for March and stay until July (end date is negotiable). This house is fully furnished with a renovated kitchen, in-house washer/dryer, free parking in the back and on the street, and all utilities/wifi are included in the rent. Very safe location as it is a block away from the GTPD station. One of the roommates has a cat, but it stays in her room most of the day and night!! 3 roommates total, but you have a private room and only share a bathroom with one person. Parking is included!"
white,middle,25,"Looking for someone to sublease my single private furnished bedroom, in 4 unit luxury apartment, with its own bathroom till July 2021! Able to move in ASAP***. 19th floor preferably female tenant. 4 unit luxury apartment with amazing view. Discounting to $1,110 for the rest of 2021 ($1175 original price). Within walking distance of GSU campus! January and February month already paid. The apartment is fully furnished - tv, balcony, washer, dryer, desk, dresser, bed, fridge, oven, stove, microwave. Amenities include - gym, pool, study area, and sky view lounge. Please DM me if interested."
white,middle,25,"FULL APARTMENT RENTAL FOR JUNE AND JULY 2021. This apartment is fully furnished and contains three bedrooms - two bedrooms sharing one bathroom and one bedroom with a private bathroom. Huge living room space with full kitchen and island sink counter. Each bedroom includes a Roku TV, bed, mattress, desk, dresser, and closet. The living room includes a four person couch with ottoman, coffee table, side chair, and full size Roku TV on a TV stand. This apartment also has a dining table, a washer dryer set, and a balcony overlooking Tech campus from the 9th floor. This apartment complex has wonderful amenities to utilize in the summer including a rooftop pool with hot tubs, fully equipped gym, and beautiful terraces. Please reach out with any questions or concerns!"
white,middle,22,"Price negotiable. Subleasing available for the summer term. 3 person furnished apartment but you have your own room and bathroom, with a shared kitchen and living room. Roommates are both Georgia Tech students. Apartment is on the 25th floor. In-unit laundry provided. Amenities include gym, pool, rooftop access. Also located next to Publix. Right next to Georgia Tech's campus.If you want to look at the apartment yourself in-person, message me and we can setup an appointment. Appliances (kitchen tools and utensils) provided, but you can also bring your own. Learn more about the rest of amenities here"
black,middle,25,"Hi! Looking for someone to sublease my room in Midtown for a 2 x 2 apartment at 1660 Peachtree Apts. The lease runs until the end of September. The apartment is located right next to SCAD and features a pool, gym, along with other great amenities. Asking for $900 plus utilities but negotiable. Please message me if you are interested. Thanks!"
black,middle,25,"I'm looking to Sublease my apartment at The Mark Student Residences. THIS IS FOR FEMALES ONLY. The rent is $1,307 a month. February's rent is already paid for, and I'm willing to pay HALF of your rent for the remainder of the lease (ends July 24th). I'll also discount it to $650 for March-July. The apartment is located on the 17th Floor. This is a two bedroom apartment with 1 roommates. The roommates are very respectful of space and noise. It's a private bathroom and private bedroom. The whole apartment comes fully furnished. The apartment is fully furnished - tv (mounted available for negotiable), balcony, washer, dryer, desk, dresser, bed, fridge, oven, stove, microwave. The amenities include a pool, fitness center, sauna, golf simulation, study center, rooftop lounge and much more. If you or anyone you know is interested, contact me."
white,middle,29,"Details. Master Bedroom available at Liberty Parkway Townhouse Community off Marietta Blvd NW. 1 Bed with private Master Bathroom and walk in closet. Rent $900/month + utilities electricity/water/internet. Deposit 1 months rent, can move in anytime. Only one roommate who is a recent Georgia Tech graduate. 3 Floor 2009 townhouse with open living room, large kitchen, walk in pantry, private deck, and quiet location at back of community. Large fridge, washer and dryer. 10 min drive from Georgia Tech. 15-20 min drive from GSU. 3 min drive from Publix Lease duration: 4+ months"
white,middle,23,"Still looking for someone to take over my lease (available Feb 6th) until 7/4/2021. Rent is $1448.85 a month not including utilities. Large corner 1 bedroom unit with windows on all sides so a ton of natural light. It’s right next to the bridge that leads to the garage so super easy to get to your car. Dm for a floor plans or any other questions. (Price is firm, not willing to make it lower). Apartment is wheelchair accessible."
black,middle,25,"Hello thanks for the add! So I’m looking to move by March 27th, and I’m looking for a two bed room or one bedroom for at least 800 and 1200 max. Looking for something that is close to Marta. I have my own washer and dryer so it would be nice to find a place that allows me to bring my own. It’s not a must though."
black,middle,27,"Hi All, I am looking for space to rent. Relocating from DC so something close in proximity to grocery stores etc. would be ideal. My budget is $1100 and I am Looking for a 1 bedroom private housing. March 1st is when I would like to move."
black,middle,25,"Good evening. I am relocating from Nola to Atlanta and am looking for a 1 bed 1 apartment for rent in NW Marietta. The maximum amount I’d like to pay is up to 1,000 with utilities included... if this is realistic "
white,middle,27,Looking for 2bed 2 bath. In midtown or Morningside area. Preferably Inman middle school district. Around $1700 or less
white,middle,24,Hello! I am looking for a pet friendly 1 bd 1 bath in Atlanta. I prefer a true 1/1 but am open to roommates. I want to stay around $800-$900 for everything but am flexible for the right fit. Please please please send any legit offers.
